7	0.0681429
7.1	0.0755889
7.2	0.0903094
7.3	0.101435
7.4	0.114754
7.5	0.162552
7.6	0.267308
7.7	0.324013
7.8	0.359749
7.9	0.384264
8	0.422617
8.1	0.456086
8.2	0.496976
8.3	0.522688
8.4	0.531237
8.5	0.545615
8.6	0.562755
8.7	0.573372
8.8	0.580975
8.9	0.590588
9	0.600172
9.1	0.607094
9.2	0.616157
9.3	0.620168
9.4	0.63075
9.5	0.637911
9.6	0.646549
9.7	0.651088
9.8	0.661046
9.9	0.664998
10	0.674589
10.1	0.680172
10.2	0.686008
10.3	0.695584
10.4	0.702736
10.5	0.708859
10.6	0.715867
10.7	0.721203
10.8	0.725423
10.9	0.733526
11	0.738257
11.1	0.742315
11.2	0.746843
11.3	0.752274
11.4	0.757637
11.5	0.764962
11.6	0.770298
11.7	0.775299
11.8	0.780752
11.9	0.78733
12	0.791807
